,left_context,right_context,DISAGREE,value,AREA,AREA (reassessed by Kwame from Seitu feedback),Theme convereted areas,IGNORE_THIS,group,new_group,the_cutoff,SUMMARIZING_QUESTION,OVERALL PROGRESS,SUMMARIZING_RATIO,NUMBER OF ROWS,NUMBER UN-SUMMARIZED,NUMBER ROW SUMMARIZED,,,,,,
16369,,,,VETERAN STATUS,Demographic/Orientation/Status,Demographic/Orientation/Status,Project Demographics/Orientation/Status,,1232,,0.44,&&&,,,,,,,,,,,
16370,,,,Veterans Sub-Focus Area,Demographic/Orientation/Status,Demographic/Orientation/Status,Project Demographics/Orientation/Status,,1233,,0.44,&&&,,,,,,,,,,,
16373,,,,Alignment with the RFP,Requested grant funding,Requested grant funding,Requested Grant Funding Related,,1235,,0.44,&&&,,,,,,,,,,,
16374,,Please highlight how this work fits our general criteria and those for the specific category you are applying under.,,FIT WITH OUR GUIDELINES,Requested grant funding,Requested grant funding,Requested Grant Funding Related,,1236,,0.44,&&&,,,,,,,,,,,
16377,b. Please fill in your estimated budget for the <REDACTED> Fund Grant. <REDACTED> Fund grants are core funding grants of TWO YEARS (December 2021–December 2023). _ CATEGORIES,,,"_3) ACTIVITIES_

Example: workshops, campaigns, research, publications, monitoring and evaluation, consultants","Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,1238,,0.44,&&&,,,,,,,,,,,
16378,,,,Primary Services,requested grant funding,requested grant funding,Requested Grant Funding Related,,1239,,0.44,&&&,,,,,,,,,,,
16379,,,,Interpreter services,requested grant funding,"Organizational Budgeting, Revenue Practices, and Forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,1240,,0.44,&&&,,,,,,,,,,,
16380,requested grant funding,,,Counselor,"Organizational budgeting, revenue practices, and forecasts",Requested Grant Funding Related,Requested Grant Funding Related Related,,1241,,0.44,&&&,,,,,,,,,,,
16381,Type of Support,,,Student Aid,"Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,1242,,0.44,&&&,,,,,,,,,,,
16389,,,,Safeguarding Policy,Internal policy and regulations,Internal policy and regulations,"Corporate Delegation and Oversight, Organizational structure",,1246,,0.44,&&&,,,,,,,,,,,
16390,,,,Whistleblowing Policy,Internal policy and regulations,Internal policy and regulations,"Corporate Delegation and Oversight, Organizational structure",,1247,,0.44,&&&,,,,,,,,,,,
16391,,,,Programmatic Offering,requested grant funding,requested grant funding,Requested Grant Funding Related,,1248,,0.44,&&&,,,,,,,,,,,
16392,,,,GRANTEE,Biographical and Organizational info,Biographical and Organizational info,Organizational Biographical and General Information,,1249,,0.44,&&&,,,,,,,,,,,
16393,,,,Payee Name,"Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,1250,,0.44,&&&,,,,,,,,,,,
16394,,,,Check Recipient,"Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,1251,,0.44,&&&,,,,,,,,,,,
16400,,,,Is There External Access,"Data handling, overview, and reporting","Data handling, overview, and reporting","Data Handling, Overview, Measurement, Evaluation and Reporting",,1254,,0.44,&&&,,,,,,,,,,,
16401,,,,Open Access,"Data handling, overview, and reporting","Data handling, overview, and reporting","Data Handling, Overview, Measurement, Evaluation and Reporting",,1255,,0.44,&&&,,,,,,,,,,,
16402,,,,Global Access Update,"Data handling, overview, and reporting","Data handling, overview, and reporting","Data Handling, Overview, Measurement, Evaluation and Reporting",,1256,,0.44,&&&,,,,,,,,,,,
16410,,,,Proj. Dir./Prin. Invest,"Corporate Delegation and Oversight, Organizational structure","Corporate Delegation and Oversight, Organizational structure","Corporate Delegation and Oversight, Organizational structure",,1260,,0.44,&&&,,,,,,,,,,,
16411,"IF APPLICABLE, PLEASE SELECT ANY OF THE FOLLOWING STRATEGIC THEMES THAT ALIGN WITH YOUR REQUEST.",,,-   INVESTING IN THE NEXT GENERATION,requested grant funding,requested grant funding,Requested Grant Funding Related,,1261,,0.44,&&&,,,,,,,,,,,
16423,,,,Budget/Financial Account,"organizational budgeting, revenue practices, and forecasts","organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,1267,,0.44,&&&,,,,,,,,,,,
16426,,,,Secured and Projected Foundation Revenue,"organizational budgeting, revenue practices, and forecasts","organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,1269,,0.44,&&&,,,,,,,,,,,
16438,,,,Executive Director/CEO Salary,"Corporate Delegation and Oversight, Organizational structure","Corporate Delegation and Oversight, Organizational structure","Corporate Delegation and Oversight, Organizational structure",,1274,,0.44,&&&,,,,,,,,,,,
16441,,,,Rent and utilities,"organizational budgeting, revenue practices, and forecasts","organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,1276,,0.44,&&&,,,,,,,,,,,
16442,b. Please fill in your estimated budget for the <REDACTED> Fund Grant. <REDACTED> Fund grants are core funding grants of TWO YEARS (December 2021–December 2023). _ CATEGORIES,,,"2) _OPERATIONAL_

Example: Office rent, maintenance costs, office supplies, utilities, financial auditsa",requested grant funding,requested grant funding,Requested Grant Funding Related,,1277,,0.44,&&&,,,,,,,,,,,
16451,For each income/expense item provide budget details that explain how you arrived at your numbers. Include enough detail in the narrative (200 characters) to clarify unusual items and how the total amount of each budget category was calculated.a,,,Supplies,requested grant funding,Miscellaneous,Miscellaneous,,1281,,0.44,&&&,,,,,,,,,,,
16452,,,,PROGRAM SUPPLIES AND EQUIPMENT,requested grant funding,Requested Grant Funding Related,Requested Grant Funding Related Related,,1282,,0.44,&&&,,,,,,,,,,,
16455,,,,"Mission Statement, Equal Employment Opportunity and Policy Statement on
Nondiscrimination",Internal policy and regulations,Internal policy and regulations,"Corporate Delegation and Oversight, Organizational structure",,1284,,0.44,&&&,,,,,,,,,,,
16496,,,,Job title/position,requested grant funding,Organizational Biographical and General Information,Organizational Biographical and General Information,,1298,,0.44,&&&,,,,,,,,,,,
16497,,,,Office Operations,"Corporate Delegation and Oversight, Organizational structure","Corporate Delegation and Oversight, Organizational structure","Corporate Delegation and Oversight, Organizational structure",,1299,,0.44,&&&,,,,,,,,,,,
16498,"Contracts: If contracts are a part of your proposed budget, you must complete one Contract Budget and Fact Chart for each contract. You may need to copy and paste the chart below into the completed budget narrative document if there are multiple contracts.",,,Scope of Work,requested grant funding,"Organizational Budgeting, Revenue Practices, and Forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,1300,,0.44,&&&,,,,,,,,,,,
16499,,,,YEARS IN OPERATION,Biographical and Organizational info,Biographical and Organizational info,Organizational Biographical and General Information,,1301,,0.44,&&&,,,,,,,,,,,
16504,,,,Grant Objectives and Evaluation Measurements,"Data handling, overview, and reporting","Data handling, overview, and reporting","Data Handling, Overview, Measurement, Evaluation and Reporting",,1304,,0.44,&&&,,,,,,,,,,,
16505,,,,"Evaluation and Funding
Key Event/Activities","data handling, overview, and reporting","data handling, overview, and reporting","Data Handling, Overview, Measurement, Evaluation and Reporting",,1305,,0.44,&&&,,,,,,,,,,,
16506,,,,Evaluation methods for each program objective,"data handling, overview, and reporting","data handling, overview, and reporting","Data Handling, Overview, Measurement, Evaluation and Reporting",,1306,,0.44,&&&,,,,,,,,,,,
16510,,,,Evaluation Tools Upload,"data handling, overview, and reporting","data handling, overview, and reporting","Data Handling, Overview, Measurement, Evaluation and Reporting",,1308,,0.44,&&&,,,,,,,,,,,
16515,,,,"Tell us more about your partner engagement strategy – what is your
    current level of engagement and potential for continued partnership
    after the program",partnership and Community,partnership and Community,Collaborative Partnerships and Community Support,,1310,,0.44,&&&,,,,,,,,,,,
16516,Planning,,,To what extent are you engaging in long-term planning and/or strategic planning? Please provide a brief highlight of your most recent strategic plan.,What the Organization Does,What the Organization Does,What the Organization Does,,1311,,0.44,&&&,,,,,,,,,,,
16533,Funding Strategy,,,Discuss the funding strategy for the proposed program and plans for sustaining the work.,requested grant funding,requested grant funding,Requested Grant Funding Related,,1318,,0.44,&&&,,,,,,,,,,,
16545,,,,Additional Project Objectives,requested grant funding,What the Organization Does,What the Organization Does,,1323,,0.44,&&&,,,,,,,,,,,
16546,,,,Specific program objectives,requested grant funding,What the Organization Does,What the Organization Does,,1324,,0.44,&&&,,,,,,,,,,,
16549,,,,Similar Programs,requested grant funding,Collaborative Partnerships and Community Support,Collaborative Partnerships and Community Support,,1326,,0.44,&&&,,,,,,,,,,,
16561,,,,PROGRAM SCHEDULE OF ACTIVITIES,requested grant funding,requested grant funding,Requested Grant Funding Related,,1331,,0.44,&&&,,,,,,,,,,,
16562,,,,PROGRAM PARTICIPANT DEMOGRAPHIC INFORMATION,Demographic/Orientation/Status,Project Demographics/Orientation/Status,Project Demographics/Orientation/Status,,1332,,0.44,&&&,,,,,,,,,,,
16567,,,,Current Employment,"organizational budgeting, revenue practices, and forecasts",Organizational Biographical and General Information,Organizational Biographical and General Information,,1334,,0.44,&&&,,,,,,,,,,,
16568,,,,Current Organisational Diagram,"Corporate Delegation and Oversight, Organizational structure","Corporate Delegation and Oversight, Organizational structure","Corporate Delegation and Oversight, Organizational structure",,1335,,0.44,&&&,,,,,,,,,,,
16569,,,,CURRENT CDP REPORT,Internal policy and regulations,Internal policy and regulations,"Corporate Delegation and Oversight, Organizational structure",,1336,,0.44,&&&,,,,,,,,,,,
16570,,,,Current Technology--Describe What You Use Today,"Data handling, overview, and reporting","Data handling, overview, and reporting","Data Handling, Overview, Measurement, Evaluation and Reporting",,1337,,0.44,&&&,,,,,,,,,,,
16571,Your Organization profile was last updated on (review the date indicated),"If no, please update your Organization Profile before continuing",,Is this current (Yes or No).,Biographical and Organizational info,Biographical and Organizational info,Organizational Biographical and General Information,,1338,,0.44,&&&,,,,,,,,,,,
16604,,,,RECENT ACCOMPLISHMENTS,What the Organization Does,What the Organization Does,What the Organization Does,,1350,,0.44,&&&,,,,,,,,,,,
16631,,,,Please share the primary point of contact for this proposal,Requested grant funding,Requested grant funding,Requested Grant Funding Related,,1358,,0.44,&&&,,,,,,,,,,,
16651,_This contact will receive all correspondence related to this request._,,,"PREFIX

  FIRST NAME

  MIDDLE NAME

  LAST NAME

  TITLE

  PRIMARY CONTACT ADDRESS",Requested grant funding,Requested grant funding,Requested Grant Funding Related,,1361,,0.44,&&&,,,,,,,,,,,
16656,,,,WHAT IS THE APPLICATION CONTACT’S PRONOUNS,Requested grant funding,Organizational Biographical and General Information,Organizational Biographical and General Information,,1363,,0.44,&&&,,,,,,,,,,,
16668,CONTACTS,,,Name Title Email Phone Role,Requested grant funding,Organizational Biographical and General Information,Organizational Biographical and General Information,,1368,,0.44,&&&,,,,,,,,,,,
16681,APPLICANT ORGANIZATION DETAILS,,,Need to add contacts,Requested grant funding,Organizational Biographical and General Information,Organizational Biographical and General Information,,1372,,0.44,&&&,,,,,,,,,,,
16684,,,,Your Contact Information,Requested grant funding,Organizational Biographical and General Information,Organizational Biographical and General Information,,1374,,0.44,&&&,,,,,,,,,,,
16689,,,,Advocacy (contact with government officials/agencies),Requested grant funding,What the Organization Does,What the Organization Does,,1377,,0.44,&&&,,,,,,,,,,,
16690,,,,Interest Form Contact,"organizational budgeting, revenue practices, and forecasts","organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,1378,,0.44,&&&,,,,,,,,,,,
16691,,,,Contacts Submitted in Grantee Portal,Requested grant funding,Requested grant funding,Requested Grant Funding Related,,1379,,0.44,&&&,,,,,,,,,,,
16695,,,,Finance Staff Email,"Organizational Budgeting, Revenue Practices, and Forecasts","Organizational Budgeting, Revenue Practices, and Forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,1381,,0.44,&&&,,,,,,,,,,,
16698,,,,Number and Street,Biographical and Organizational info,Biographical and Organizational info,Organizational Biographical and General Information,,1383,,0.44,&&&,,,,,,,,,,,
16699,,,,Phone Number and Extension,Biographical and Organizational info,Biographical and Organizational info,Organizational Biographical and General Information,,1384,,0.44,&&&,,,,,,,,,,,
16711,,,,Phone Extn,Biographical and Organizational info,Biographical and Organizational info,Organizational Biographical and General Information,,1388,,0.44,&&&,,,,,,,,,,,
16712,,,,"Applicant
  Phone",Biographical and Organizational info,Biographical and Organizational info,Organizational Biographical and General Information,,1389,,0.44,&&&,,,,,,,,,,,
16713,,,,Preferred Phone,Biographical and Organizational info,Biographical and Organizational info,Organizational Biographical and General Information,,1390,,0.44,&&&,,,,,,,,,,,
16735,Most recent audited financial statement or financial review (if available}.,,,Sr. Number,"Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,1395,,0.44,&&&,,,,,,,,,,,
16753,,,,Email Copy to Inquirer,Biographical and Organizational info,Biographical and Organizational info,Organizational Biographical and General Information,,1401,,0.44,&&&,,,,,,,,,,,
16761,,,,YouTube,Biographical and Organizational info,Biographical and Organizational info,Organizational Biographical and General Information,,1405,,0.44,&&&,,,,,,,,,,,
16762,,,,LinkedIn,Biographical and Organizational info,Biographical and Organizational info,Organizational Biographical and General Information,,1406,,0.44,&&&,,,,,,,,,,,
16801,,,,Zip + 4-digit extension,Biographical and Organizational info,Biographical and Organizational info,Organizational Biographical and General Information,,1417,,0.44,&&&,,,,,,,,,,,
16831,,,,"List of project advisory board members and a description of the extent to which
their backgrounds match the backgrounds of the target population, if applicable","Corporate Delegation, and Oversight, Organizational structure","Corporate Delegation, and Oversight, Organizational structure","Corporate Delegation and Oversight, Organizational structure",,1424,,0.44,&&&,,,,,,,,,,,
16832,,,,"List of the project’s leadership and advisory committee members
          and their affiliations","Corporate Delegation, and Oversight, Organizational structure","Corporate Delegation, and Oversight, Organizational structure","Corporate Delegation and Oversight, Organizational structure",,1425,,0.44,&&&,,,,,,,,,,,
16839,,,,"LIST OF BOARD MEMBERS, INCLUDING TITLE, OUTSIDE AFFILIATION, AND
TELEPHONE NUMBER","Corporate Delegation, and Oversight, Organizational structure","Corporate Delegation, and Oversight, Organizational structure","Corporate Delegation and Oversight, Organizational structure",,1428,,0.44,&&&,,,,,,,,,,,
16840,,,,Current Board/Advisory/Steering Committee List,"Corporate Delegation, and Oversight, Organizational structure","Corporate Delegation, and Oversight, Organizational structure","Corporate Delegation and Oversight, Organizational structure",,1429,,0.44,&&&,,,,,,,,,,,
16841,,,,"organization's current Board of
    Directors list","Corporate Delegation, and Oversight, Organizational structure","Corporate Delegation, and Oversight, Organizational structure","Corporate Delegation and Oversight, Organizational structure",,1430,,0.44,&&&,,,,,,,,,,,
16842,,,,"A current list of the organizations' board members, their positions on the board, terms of office, and professional
affiliations","Corporate Delegation, and Oversight, Organizational structure","Corporate Delegation, and Oversight, Organizational structure","Corporate Delegation and Oversight, Organizational structure",,1431,,0.44,&&&,,,,,,,,,,,
16859,,,,Board Chair,"Corporate Delegation, and Oversight, Organizational structure","Corporate Delegation, and Oversight, Organizational structure","Corporate Delegation and Oversight, Organizational structure",,1436,,0.44,&&&,,,,,,,,,,,
16860,,,,"Board of
Directors","Corporate Delegation, and Oversight, Organizational structure","Corporate Delegation, and Oversight, Organizational structure","Corporate Delegation and Oversight, Organizational structure",,1437,,0.44,&&&,,,,,,,,,,,
16869,,,,STAFF (excluding Executive Director),"Corporate Delegation, and Oversight, Organizational structure","Corporate Delegation, and Oversight, Organizational structure","Corporate Delegation and Oversight, Organizational structure",,1442,,0.44,&&&,,,,,,,,,,,
16908,,,,CLIENT/STAFF/BOARD DEMOGRAPHICS,"Corporate Delegation, and Oversight, Organizational structure","Corporate Delegation, and Oversight, Organizational structure","Corporate Delegation and Oversight, Organizational structure",,1452,,0.44,&&&,,,,,,,,,,,
16918,,,,Need Addressed and Target Population,requested grant funding,What the Organization Does,What the Organization Does,,1456,,0.44,&&&,,,,,,,,,,,
16919,Target Audience,,,"If applicable, identify target audiences and special populations to be served.",Demographic/Orientation/Status,Demographic/Orientation/Status,Project Demographics/Orientation/Status,,1457,,0.44,&&&,,,,,,,,,,,
16920,,,,Target Population Population(s) you primarily intend to serve using the requested funds,Demographic/Orientation/Status,Demographic/Orientation/Status,Project Demographics/Orientation/Status,,1458,,0.44,&&&,,,,,,,,,,,
16923,Finances,,,Client Transportation,requested grant funding,requested grant funding,Requested Grant Funding Related,,1460,,0.44,&&&,,,,,,,,,,,
16924,,,,Personnel and Benefits,"Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,1461,,0.44,&&&,,,,,,,,,,,
16925,,,,Partners and Collaborators,partnership and Community,partnership and Community,Collaborative Partnerships and Community Support,,1462,,0.44,&&&,,,,,,,,,,,
16932,,How are those people who are most affected by the issues you address actively involved in the work of the organization and in leadership and decision-making positions within the organization?,,_Constituent Involvement_,partnership and Community,partnership and Community,Collaborative Partnerships and Community Support,,1466,,0.44,&&&,,,,,,,,,,,
16949,,,,Key Staff and Volunteers,requested grant funding,Organizational Biographical and General Information,Organizational Biographical and General Information,,1472,,0.44,&&&,,,,,,,,,,,
16950,,,,Key Event/Activities,requested grant funding,Organizational Biographical and General Information,Organizational Biographical and General Information,,1473,,0.44,&&&,,,,,,,,,,,
16985,,,,TOTAL STAFF SIZE (IN FTE AND PTE),"Corporate Delegation, and Oversight, Organizational structure","Corporate Delegation, and Oversight, Organizational structure","Corporate Delegation and Oversight, Organizational structure",,1481,,0.44,&&&,,,,,,,,,,,
16986,,,,"Total # of organizational leaders (e.g., CEO, ED, COO, Director of Programs, etc.)","Corporate Delegation, and Oversight, Organizational structure","Corporate Delegation, and Oversight, Organizational structure","Corporate Delegation and Oversight, Organizational structure",,1482,,0.44,&&&,,,,,,,,,,,
17003,,,X,ANTICIPATED AUDIENCE NUMBER,requested grant funding,requested grant funding,Requested Grant Funding Related,,1488,,0.44,&&&,,,,,,,,,,,
17004,,,,DESCRIBE THE TARGETED AUDIENCE(S),requested grant funding,Project Demographics/Orientation/Status,Project Demographics/Orientation/Status,,1489,,0.44,&&&,,,,,,,,,,,
17007,,,,What populations are being served,Demographic/Orientation/Status,Demographic/Orientation/Status,Project Demographics/Orientation/Status,,1491,,0.44,&&&,,,,,,,,,,,
17008,,,X,How many people access the activities,requested grant funding,requested grant funding,Requested Grant Funding Related,,1492,,0.44,&&&,,,,,,,,,,,
17022,,,,"Other existing or potential sources of funding (including contributions
by your organization)","Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,1497,,0.44,&&&,,,,,,,,,,,
17040,,,,"IF YES, PLEASE LIST ADDITIONAL SOURCES OF FUNDING/SUPPORT","Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,1503,,0.44,&&&,,,,,,,,,,,
17043,,,,Private Schools/Tuition Based Projects,"Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,1505,,0.44,&&&,,,,,,,,,,,
17050,,,,Individual Donations,"Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,1508,,0.44,&&&,,,,,,,,,,,
17053,,,,Contributions and other gifts,"Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,1510,,0.44,&&&,,,,,,,,,,,
17062,,,,Renewed <REDACTED> Funding,requested grant funding,requested grant funding,Requested Grant Funding Related,,1515,,0.44,&&&,,,,,,,,,,,
17063,,,,Attachments Required by <REDACTED> Fund,miscellaneous,miscellaneous,miscellaneous,,1516,,0.44,&&&,,,,,,,,,,,
17064,,,,Are you applying to a specific fund,requested grant funding,requested grant funding,Requested Grant Funding Related,,1517,,0.44,&&&,,,,,,,,,,,
17065,,,,Funds that were given for a specific purpose,requested grant funding,requested grant funding,Requested Grant Funding Related,,1518,,0.44,&&&,,,,,,,,,,,
17086,"DOCUMENTS Electronic versions of these requested documents must be uploaded individually to our Grants Portal. PDF, Word and Excel formats are preferred, but image files are also accepted. View our Requested Documents video for samples and further explanation of these documents.",,,_BUDGET DOCUMENTS FOR YOUR GRANT REQUEST_,requested grant funding,requested grant funding,Requested Grant Funding Related,,1527,,0.44,&&&,,,,,,,,,,,
17098,,,,Explain the use of funds requested,requested grant funding,requested grant funding,Requested Grant Funding Related,,1533,,0.44,&&&,,,,,,,,,,,
17099,Total Project Revenue/Expenses,"This should outline how funding from this grant will be utilized, if a grant is awarded. If a grant is approved, we will use this budget when it comes time to report on the project to ensure funds were used as intended. If your project is multiyear you can create separate yearly budgets below. You will be asked for a start and end date for each budget. This is helpful to you and to us, so that we can adjust payment schedules correctly if a grant is approved. To edit a budget you've already entered in this section, you can first save this application then use the menu on the left to scroll down to the budget section. Find your budget under drafts to edit the content. You can also withdraw duplicate budgets from there.",,Expenses for Requested Funds (form submission),requested grant funding,requested grant funding,Requested Grant Funding Related,,1534,,0.44,&&&,,,,,,,,,,,
17121,,,,Term Months Requested,requested grant funding,requested grant funding,Requested Grant Funding Related,,1539,,0.44,&&&,,,,,,,,,,,
17138,Application Type:,,,COVID-19 General Grant Program,requested grant funding,requested grant funding,Requested Grant Funding Related,,1544,,0.44,&&&,,,,,,,,,,,
17139,,,,ENDOWMENT GRANTS  SPECIAL REQUIREMENTS,requested grant funding,requested grant funding,Requested Grant Funding Related,,1545,,0.44,&&&,,,,,,,,,,,
17140,,,,Grant Narrative-Description of Activities,requested grant funding,requested grant funding,Requested Grant Funding Related,,1546,,0.44,&&&,,,,,,,,,,,
17141,,"Tell us if your work is time limited or indefinite. If you plan to continue it after our grant, how do you plan to do this? You can download the guidance from here",,-   WHAT HAPPENS WHEN THE GRANT ENDS?,requested grant funding,requested grant funding,Requested Grant Funding Related,,1547,,0.44,&&&,,,,,,,,,,,
17142,,,,"If so, what was the grant number",requested grant funding,requested grant funding,Requested Grant Funding Related,,1548,,0.44,&&&,,,,,,,,,,,
17145,,,,Select the number of Outputs for this grant,"Data handling, overview, and reporting","Data handling, overview, and reporting","Data Handling, Overview, Measurement, Evaluation and Reporting",,1550,,0.44,&&&,,,,,,,,,,,
17150,,,,"Dollar amount of grant support
requested",requested grant funding,requested grant funding,Requested Grant Funding Related,,1552,,0.44,&&&,,,,,,,,,,,
17151,,,,"Grant amount requested ONLY from
The <REDACTED> Foundation in U.S. dollars",requested grant funding,requested grant funding,Requested Grant Funding Related,,1553,,0.44,&&&,,,,,,,,,,,
17165,Summary,,,Multi-Year?,requested grant funding,requested grant funding,Requested Grant Funding Related,,1558,,0.44,&&&,,,,,,,,,,,
17166,,,,DURATION IN MONTHS (MUST BE BETWEEN 12 AND 18 MONTHS),requested grant funding,requested grant funding,Requested Grant Funding Related,,1559,,0.44,&&&,,,,,,,,,,,
17167,,,,"Detailed project timeline (showing key dates in project development and
implementation)",requested grant funding,requested grant funding,Requested Grant Funding Related,,1560,,0.44,&&&,,,,,,,,,,,
17168,Action Steps,,,"Describe the process and time frame with detail for developing the project/program. Include the action steps, dates, times, locations, vendors, etc.",requested grant funding,requested grant funding,Requested Grant Funding Related,,1561,,0.44,&&&,,,,,,,,,,,
17169,,,,"Please provide a list of key milestones relevant to the time period specified for
the project/program",requested grant funding,requested grant funding,Requested Grant Funding Related,,1562,,0.44,&&&,,,,,,,,,,,
17170,,,,"LIST THE COMMISSION’S MAJOR ACTIVITIES AND THE TIMELINE FOR THE
COLLABORATION FROM INCEPTION TO COMPLETION",requested grant funding,requested grant funding,Requested Grant Funding Related,,1563,,0.44,&&&,,,,,,,,,,,
17173,,,,TIMELINE AND MILESTONES,requested grant funding,requested grant funding,Requested Grant Funding Related,,1565,,0.44,&&&,,,,,,,,,,,
17178,,,,Latest Period Variance,"Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,1568,,0.44,&&&,,,,,,,,,,,
17181,,,,Camp Schedule,requested grant funding,requested grant funding,Requested Grant Funding Related,,1570,,0.44,&&&,,,,,,,,,,,
17182,,Founding year(s) of the camp(s) or program(s),,Founding Year of Summer Programming,Biographical and Organizational info,Biographical and Organizational info,Organizational Biographical and General Information,,1571,,0.44,&&&,,,,,,,,,,,
17185,,,,ACTUAL YEAR–TO-DATE,"Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,1573,,0.44,&&&,,,,,,,,,,,
17207,,,,Second Year (if Multi-Year),requested grant funding,requested grant funding,Requested Grant Funding Related,,1579,,0.44,&&&,,,,,,,,,,,
17212,,,,Q2. Year Founded,Biographical and Organizational info,Biographical and Organizational info,Organizational Biographical and General Information,,1581,,0.44,&&&,,,,,,,,,,,
17263,,,,INTERNAL: Percentage of Project To Be Funded By Grant Request,requested grant funding,requested grant funding,Requested Grant Funding Related,,1599,,0.44,&&&,,,,,,,,,,,
17264,,,,Percentage of total project that will be funded by <REDACTED> if grant is funded in full,requested grant funding,requested grant funding,Requested Grant Funding Related,,1600,,0.44,&&&,,,,,,,,,,,
17279,,,,Appendix A: Complete budget for the program/project,requested grant funding,requested grant funding,Requested Grant Funding Related,,1605,,0.44,&&&,,,,,,,,,,,
17282,,,,Include the total amount for each item,requested grant funding,requested grant funding,Requested Grant Funding Related,,1607,,0.44,&&&,,,,,,,,,,,
17283,,,,Total number to be served by the proposed program,requested grant funding,Project Demographics/Orientation/Status,Project Demographics/Orientation/Status,,1608,,0.44,&&&,,,,,,,,,,,
17286,,,,Amount disbursed to subawardee in most recent reporting period,requested grant funding,requested grant funding,Requested Grant Funding Related,,1610,,0.44,&&&,,,,,,,,,,,
17328,,,,Scheduled Payment Amount,requested grant funding,requested grant funding,Requested Grant Funding Related,,1620,,0.44,&&&,,,,,,,,,,,
17382,,,,How would you like to enter Budget Information,"Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,1639,,0.44,&&&,,,,,,,,,,,
17405,,,,PERCENTAGE OF YOUR OPERATING BUDGET DOES THIS REQUEST REPRESENT,requested grant funding,requested grant funding,Requested Grant Funding Related,,1644,,0.44,&&&,,,,,,,,,,,
17437,,,,Annual budget (USD),"Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,1651,,0.44,&&&,,,,,,,,,,,
17457,,,,ORGANIZATION’S CURRENT OPERATING BUDGET (NUMERICAL VALUES ONLY),"Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,1655,,0.44,&&&,,,,,,,,,,,
17474,,,,Total Annual Revenue of the Organization - in USD,"Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,1660,,0.44,&&&,,,,,,,,,,,
17480,,,,"Please upload internal financial statements for the current (partial) fiscal year, which includes a budget to actual revenue & expense statement and balance sheet.","Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,1663,,0.44,&&&,,,,,,,,,,,
17485,,,,"Current board approved annual operating budget, including expense and income","Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,1666,,0.44,&&&,,,,,,,,,,,
