left_context,question,right_context,identifier
,Newly Added Output/Funded Development,,7339
,Output/Funded,,7197
,New and/or newly identified subawardee,,7412
,"Are there any additional Background Technologies to report which
    were not described in any documents previously submitted to the
    foundation",,7374
,"Are all the project activities described in the documents previously
    submitted to the foundation",,7386
,"Many countries, including India, Vietnam, and Bangladesh require
    organizations conducting activities funded with foreign funds to
    comply with local registrations or other requirements. These
    restrictions may apply to funds you disburse to sub-awardees under
    this project. Please confirm that your organization will ensure
    compliance with any such requirements, including taking reasonable
    steps to ensure that any subgrantees subject to India's Foreign
    Contribution Regulation Act (FCRA) are in compliance with this law
    and the regulations thereunder (e.g., depositing subgrant funds only
    into accounts maintained at the State Bank of India, New Delhi Main
    Branch and ensuring such subgrantees do not further subgrant
    funds)",,7294
"Many countries, including India, Vietnam, and Bangladesh require organizations conducting activities funded with foreign funds to comply with local registrations or other requirements. These restrictions may apply to funds you disburse to sub-awardees under this project.","Please confirm that your organization will ensure
    compliance with any such requirements, including taking reasonable
    steps to ensure that any subgrantees subject to India's Foreign
    Contribution Regulation Act (FCRA) are in compliance with this law
    and the regulations thereunder (e.g., depositing subgrant funds only
    into accounts maintained at the State Bank of India, New Delhi Main
    Branch and ensuring such subgrantees do not further subgrant
    funds). 

Not applicable 
Confirmed 
Not confirmed (please explain)",,7305
Please confirm that your organization:,"Will maintain the expertise necessary to conduct, control, manage,
    and monitor all aspects of the project in compliance with all
    applicable ethical, legal, regulatory, and safety requirements
    including applicable international, national, state, local, and
    institutional, school district or school network standards and
    policies and is responsible for determining and complying with these
    requirements and standards; 

-   Will not disclose any confidential or protected information to the
    foundation without obtaining prior written approval from the
    foundation and all necessary consents to disclose such
    information;  

-   Acknowledges that any activities by the foundation in reviewing
    documents, providing input or funding does not modify your
    organization’s responsibility for determining and complying with all
    applicable ethical, legal, regulatory, and safety requirements for
    the project in all places; 

-   Is a government agency, public institution or multilateral
    organization or will otherwise maintain insurance coverage
    sufficient to cover the activities, risks, and potential omissions
    of the project in accordance with generally-accepted standards and
    as required by law (for instance, general, professional, clinical
    trial, product liability, medical malpractice, workers'
    compensation, or otherwise); and

-   Will not transfer any biological materials, chemicals, reagents,
    hazardous materials, or the like to the foundation.  

Confirmed
Not confirmed (please explain)",,7306
Foundation Funding Amount (USD),Has the amount changed since the proposal or last report?,,7441
,"If you listed any TBD locations or locations that are not
country-specific, and/or locations that are subject to U.S.
government sanctions or believe that project work could reasonably
occur in a location that is subject to U.S. government sanctions,
please review the guidance in the Office of Foreign Assets
Control (OFAC) Guidelines and confirm that: 

(a) you have discussed the location of work with your foundation contact, and (b) your organization will ensure compliance throughout the term of the project with the anti-terrorism clause in our grant agreement.

Confirmed
Not confirmed (please explain)",,7556
,"Describe the work the subawardee is going to perform, what selection
    process was used, how the sub-budgets were negotiated, and what the
    key cost drivers are",,7277
Are you planning a formal evaluation?,"If yes, describe when the formal evaluation will be conducted during
    the project, who will conduct it (external/third party or not), the
    methodology you will consider, and how the main evaluation audiences will use the findings.","For additional information, see the foundation's Evaluation Policy.",7242
,Were any IP rights be filed/ generated,,7472
,Will any IP rights be filed/generated,,7202
,Are you planning a formal evaluation,,7239
Measurement and Evaluation,"Describe your plan for monitoring, measurement, and evaluation of
    the outputs and outcomes.","Please specify (a) the learning/evaluation questions for this project and how you plan to answer them through monitoring, measurement, and/or evaluation; (b) the resources (financial, technical, human) that you need to ensure high quality data.",7237
,"What are 1–3 ways that the foundation successfully enabled or
    supported your work during this project? What are 1–3 ways that the
    foundation can improve",,7454
Final Results,"-   Provide information about what you achieved during the grant and
    your progress towards achieving the project's desired outcomes
    and outputs.",,7461
,"How will you disseminate the knowledge and information gained from
    the project",,7209
,Does the project involve regulated human subject research,,7315
,Other Sources of Support and External Factors,,7433
"Investment Results - Outcomes and Outputs In this section, please provide specific details on the results this project will achieve. “OUTCOME” is the ultimate or overall change(s) in systems, populations, or behaviors that a project seeks to achieve within the time frame of the grant.","-   Describe what success looks like for the project by stating the
    intended outcome(s) of the project and how they relate to the
    activities funded by the grant.",,7193
,"How will you ensure affordable and meaningful access to the Funded
    Developments and Background Technology, if any",,7225
,"Do you foresee any obstacles to achieving Global Access (e.g.,
    third-party rights, restrictions on Background Technology, time
    frame, affordability)",,7226
,"PLEASE LIST ANY BACKGROUND TECHNOLOGY THAT WILL BE USED IN
THE PROJECT",,7211
,"Does the project involve any of the following: clinical trial, other
    trial involving human subjects, post-approval study, experimental
    medicine, field trial of genetically modified organisms, or the
    provision of medical/health services",,7309
,Organization's Fiscal Year End,,7181
,"For Global Access purposes, please confirm that you will make
    available the funded developments and any Background Technology that
    is (a) owned, controlled, or developed by you, or in-licensed with
    the right to sublicense; and (b) either incorporated into a funded
    development or reasonably required to",,7230
,"In addition to the information included in the Excel budget
    template, please also list all subgrantees or subcontractors
    involved in this project in the table below",,7272
"Outputs/Funded Developments and Background Technology Update - Update the table below to reflect completed and/or adjusted outputs, and new outputs/Funded Developments not previously reported. See your original results table in Section A of your proposal for reference.","If necessary, please add further explanation below.",,7373
Other Sources of Support,"-   Beyond the requested funding from this grant, will the total cost of
    this project require contributions of funding from other sources
    (either from your organization or others)?

No (skip questions below)
Yes (please explain)

Please fill out the Total Project Cost and Funding Plan sections in
    the Excel Budget template and provide further context and
    explanations here, such as timing, uncertainties/dependencies and
    important restrictions that apply. If applicable, please also
    describe any expected in-kind contributions (e.g., drug donations,
    personnel time), and explain how dollar values were estimated.",,7287
,"Beyond the requested funding from this grant, will the total cost of
    this project require contributions of funding from other sources
    (either from your organization or others)",,7283
,"In the table below, please provide information for all subgrantees
    or subcontractors receiving grant funds",,7406
Other Sources of Support,"Please fill out the Total Project Cost and Funding Plan sections in
    the Excel Budget template and provide further context and
    explanations here, such as timing, uncertainties/dependencies and
    important restrictions that apply. If applicable, please also
    describe any expected in-kind contributions (e.g., drug donations,
    personnel time), and explain how dollar values were estimated.",,7286
,"If not already addressed in your answers above, please provide
    additional explanations on subaward spending below. In particular,
    for subawards that are large or where actual spending was
    significantly different from prior projections, please explain",,7540
,"Did the project spend more or less than anticipated? At a high
    level, what are the reasons for spending more or less than projected
    (such as, programmatic changes, delays in recruitment, etc.)",,7394
,Organization Doing Business As/Trade Name[2],,7158
,State / Province,,7172
,Organization Location (Country),,7275
,"Please provide a detailed explanation for any expense category in
    which the variance was greater than 10%. This should include an
    explanation of relevant project decisions or changes to actual costs
    compared to prior assumptions",,7395
,"Do you confirm that you have provided a full and accurate disclosure
    of all outputs/Funded Developments and Background Technology as
    applicable to the project",,7502
Lessons Learned,"What are 1–3 lessons that you learned from this project? 
If you were to do this project again, how would you approach things differently?",,7559
,Additional Question(s),,7244
,"Do you represent that the project activities were conducted in
    compliance with all applicable ethical, legal, regulatory and safety
    requirements",,7383
,"If you are an Indian organization/entity subject to India’s Foreign
    Contribution Regulation Act (FCRA), then in compliance with FCRA, do
    you confirm that your proposed project will not include any
    subgrantees",,7266
"For Global Development (GD), Global Health (GH), Global Growth and Opportunity (GGO), and Gender Equality (GE) related grants, include the following text below:","-   Does the project involve any of the following: clinical trial, other
    trial involving human subjects, post-approval study, experimental
    medicine, field trial of genetically modified organisms, or the
    provision of medical/health services? 

No
Yes (please explain)

    If yes, please list all approvals and consents required for each
    site and describe the time frame in which your organization will
    acquire the necessary approvals and consents.",,7312
,"Did you list any locations of work as ""to be determined"" (TBD) or
    geographic areas instead of specific countries (e.g., Sub-Saharan
    Africa or Middle East)",,7298
"If yes, please list all approvals and consents required for each site and describe the time frame in which your organization will acquire the necessary approvals and consents.","-   If yes, please identify the name of the entity that will be the
    sponsor/responsible party of any clinical trials, studies involving
    human subjects, experimental medicine studies, post-approval
    studies, products, or regulatory filings contemplated by the
    project.","_Note: The foundation will not serve as the sponsor/responsible party nor accept delegation of any of these responsibilities. If the project will not involve such activities, please indicate not applicable or N/A below._",7313
,Fiscal Agent[3] (if applicable),,7159
,Tax Status (if known and applicable),,7161
,Website (if applicable),,7178
,Progress Details,,7332
,Capital Equipment,,7258
,Consultants,,7256
,Will any IP rights be filed/ generated,,7344
,Additional Contact Title,,7173
,Total amount disbursed to subawardee to date,,7415
,Street Address 2,,7167
,Additional Contact Email,,7175
Data Access We anticipate this project to generate datasets that may be of interest to the foundation and/or to the field if made publicly available.,"Describe any datasets that will be generated as part of
    this project. Specifically address when and how the datasets will be
    made available to the foundation and/or to the public, in what form
    or format, and any anticipated costs to your organization.",,7235
,Your Name,,7455
,Location of Work,,7292
,Reporting Period End Date,,7329
,Latest Period Variance,,7391
,Location of Work Updates,,7443
,Total amount spent by the subawardee to date,,7417
,Reporting Period Start Date,,7328
,Primary Contact Email,,7168
,Geography Served,,7290
,Indirect Cost Rate,,7279
,Website or Email,,7276
,Currency Exchange,,7281
,Primary Contact Phone,,7170
,Financial Update,,7389
,Other Direct Costs,,7260
,Foundation Funding Amount,,7439
,Amount disbursed to subawardee in most recent reporting period,,7413
,Scheduled Payment Amount,,7331
,Investment ID,,7145
,Zip / Postal Code,,7174
,Total subaward amount,,7419
,Outputs/Funded Developments and Background Technology,,7463
,Outputs/Funded Developments and Background Technology Update,,7334
,Report Submitted Date,,7456
,Investment Owner,,7146
,Investment Details,,7148
,Global Access Update,,7379
,Investment Coordinator,,7147
,Personnel and Benefits,,7253
,Progress Report Number,,7327
,Street Address 1,,7165
,Progress Report Due Date,,7330
,Final Report Due Date,,7459
,Street Address 3,,7169
,Organization’s Total Revenue for Most Recent Fiscal Year,,7182
,Primary Contact Title,,7166
,"Please briefly describe the specific issue(s) that your work
    addresses",,14018
,"Why are those values important to you and your work and how have
    they shaped how you carry out your project",,14014
,"QUESTIONS ABOUT YOU

-   What principles or values guide you in your life?

-   Why are those values important to you and your work and how have
    they shaped how you carry out your project? 

-   What steps do you take to grow as an individual and to ensure that
    you are living in alignment with those values? Is this an area that
    you think is important for you to develop?",,14012
,"QUESTIONS ABOUT THE ISSUE YOUR WORK ADDRESSES

-   Please briefly describe the specific issue(s) that your work
    addresses?

-   Please describe the experience that makes this issue meaningful to
    you and tell us what sparked your passion for working to address it.

-   What skills and qualities do you have that mean that you are well
    suited to effectively address this issue?

-   What impact has the global COVID-19 pandemic had on this issue?",,14020
,"Please share with us your overall strategy and why you think it is
    an effective one",,14034
,"What activities have you already done in the past 12-months to
    address the issue described in this application",,14039
,"What skills and qualities do you have that mean that you are well
    suited to effectively address this issue",,14022
,"Please list any grants from other foundations or organizations for
    this work",,14052
,How are you related to the community that this work serves,,14030
,"Please describe the people/animals that will be served by
    your project. If you have selected a targeted group of
    beneficiaries, please also tell us how you selected those who will
    participate in or benefit from the project",,14026
,"How will you ensure your work is carried out safely during the
    global COVID-19 pandemic? How will you ensure your project adapts as
    time passes to take into account the evolution of the spread of
    COVID-19 in your community and the changing guidelines from local
    authorities on how to work safely",,14043
,"How much money have you raised in the past 12-months for this
    specific project",,14050
QUESTIONS ABOUT YOUR BUDGET,"-   FOR ORGANIZATIONS/GROUPS: What is your annual budget for ALL your  work, not just the project for which you are requesting funding from TPP?",,14054
,"If you were to be awarded this grant, will you have enough funding
    to carry out all of your work on this specific project for the next
    12-months, or will you need to raise more funds to carry out those
    plans",,14055
,"Please provide an itemized budget detailing how you will spend the
    grant from <REDACTED> if awarded",,14061
,"What activities do you have planned for the next 12-months, and
    which of those activities will a grant from <REDACTED> allow you to carry
    out",,14041
,"Please tell us about the non-financial resources which may be
    available to you and how",,14058
,"What steps do you take to grow as an individual and to ensure that
    you are living in alignment with those values? Is this an area that
    you think is important for you to develop",,14016
,"Does your project involve charging participants for goods or
    services",,14045
,"IF MORE FUNDS NEED TO BE RAISED: Please tell us how much remains
        to be raised, your fundraising plans, and what will happen if
        you do not raise the total amount of funds needed",,14056
,"Have you explored collaborating or partnering with any existing
    groups or organizations in the region who address a similar need to
    the one you have identified? What steps have you taken to explore
    the work of other groups and what did you learn",,14032
Does your project involve charging participants for goods or services?,"How do you know those charges are affordable and do you
        offer a sliding scale or other system to ensure they are
        accessible?",,14048
,Please briefly describe to us where this work takes place,,14028
,Explain the use of funds requested,,7597
General Operating Support,"RACE     NUMBER IN BOARD     PERCENTAGE OF BOARD
  -------- ------------------- -----------------------

    American Indian/Native American         
  ----------------------------------- ----- --------
    Asian American/Pacific Islander         
    Black/African American                  
    White                                   
    Latino                                  
    Two or More                             
    TOTAL                               0     100%",,7580
,"IS YOUR BOARD MEMBERSHIP AT LEAST 10% PEOPLE OF COLOR?

  IS THIS APPLICATION TO FUND A PROJECT (OR CAPITAL REQUEST) OR FOR
  GENERAL OPERATING SUPPORT",,7579
,ORGANIZATION'S TOTAL OPERATING BUDGET FOR CURRENT FISCAL YEAR,,7594
,Organization's total operating budget for past fiscal year,,7593
,IS THIS ORGANIZATION LED BY A PERSON OF COLOR,,7596
,IS THIS A WOMAN-LED ORGANIZATION,,7595
,Application Amount Requested,,8339
,"IS THIS APPLICATION TO FUND A PROJECT (OR CAPITAL REQUEST) OR FOR
  GENERAL OPERATING SUPPORT",,8345
,"Mission Statement and
Background",,7903
,<REDACTED> Applicant Organization,,7889
,"Please describe how your organization will be different or better because of the work that you will do
with the requested grant funds",,7940
,,,7943
,Organization Type,,7921
,Number of board members,,7942
,"Please select the type of support you are General Operating Support
requesting",,7924
,"Describe your organization and its work, especially as it relates to advancing opportunities for lowincome people",,7939
,Number of Staff members,,7959
,Number of population served,,7976
,Grant Contact,,7890
,Postal Code,,7899
,"Year Organization
Established",,7904
,Population Served,,7975
,"Duration for the grant request in
number of months",,7914
,"I acknowledge the above nondiscrimination statement and screening
policy",,7908
,Chief Executive Officer,,7891
,Focus of Grant,,7923
,Grant Purpose,,7925
,"Grant amount requested ONLY from
The <REDACTED> Foundation in U.S. dollars",,7918
,"TOTAL budget for the requested grant
in U.S. dollars",,7917
,"Organizational Operating Budget for
current fiscal year in U.S. Dollars",,7919
,"Are there any confirmed and/or
pending funders for this grant request",,7926
,Does this grant include a Fiscal Sponsor,,7905
Geographic Area Served,"In the table below, enter percentage of funding for each geographic area (i.e. city, state, and country) that will be served by <REDACTED> funding.",Neighborhood is required only for organizations working in Detroit or Memphis.,7932
,Staff Members,,7958
,"Who will you be collaborating with, either formally or informally, to carry out the activities described in
this grant application",,7941
Population Served (if applicable),"If explanation is necessary, please use the space provided:",,7992
,Ending date of requested grant period,,7915
,Names and qualifications of personnel responsible for program leadership and fiscal responsibility,,11383
,Please enter your Tax ID,,11335
Program objectives and evaluation (briefly describe):,"Evaluation methods for each program objective.

What information you will collect to monitor your progress in reaching the objective.

From whom you will collect the information and how often.

How you will collect it (survey, interview, test, etc.).",,11377
,Organization and Contact Information,,11346
,Primary County,,11351
,Please enter the LEGAL name of the organization,,11348
,In which county will your organization provide the bulk of its services,,11338
,Explain how the proposed effort relates to the Foundation's program goals,,11368
,Describe the nature and extent of the problem you plan to address,,11366
,GuideStar Level,,11349
,Specific program objectives,,11372
,Amount requested from the Foundation,,11386
,Are you enrolled in the GuideStar Exchange Program,,11336
,Your organization's purpose and history,,11365
,Primary person to contact within your organization should we have questions regarding this request,,11353
,What is your organization's GuideStar Exchange Participant Level,,11337
,Proposed Project Title,,11364
,Estimated cost for the project,,11385
,Describe how the population to be served has previously been involved or will be involved in developing solutions,,11370
,Evaluation methods for each program objective,,11375
,Rationale for Amount Requested,,11387
,Evaluation criteria,,11373
"Diversity, Equity, and Inclusion Questions Advancing Diversity, Equity, and Inclusion","Please outline how your organization is advancing diversity, equity, and inclusion, both internally within your organization and across all programmatic areas.",,9785
,Organization Mission Statement,,9723
User Profile Accuracy Please confirm your user profile is up-to-date and reflects accurate profile information.,"Yes, I confirm the information in the portal is accurate.",,9835
Compliance Questions Conflict of Interests,"Are there relationships, conflicts of interest or any additional information <REDACTED> should be aware of?",,9821
,First Time Applying,,9717
,Project Evaluation and Outcomes,,9776
,Equitable Project Outcomes,,9787
,Full Name,,9843
,Budget Year,,9802
Black or African Americans Served,"Please select if your project serves Black or African Americans
Yes
No

% of Black or African Americans Served

Please state the percentage of Black or African Americans your project exclusively serves. If you do not serve Black or African Americans, please enter 0%.

% of Black or African Americans in Organization

Please state the percentage of your organization that is composed of Black or African Americans. Include staff, senior leadership, board members, etc. If you do not have any Black or African Americans associated with your organization, please enter 0%.",,9793
,I acknowledge the eligibility criteria and confirm my organization & project meet these criteria,,9715
,Total Project Budget - in USD,,9754
Compliance Questions - Additional Information Additional Detail,"Please provide further details on your Conflict of Interest, Outstanding Obligation and/or Contingency, or Ongoing Investigation",,9833
,What is your Organization Type,,9727
,Operating Budget for the Financial Year - in USD,,9800
,Total Funding Amount Requested - in USD,,9752
,Project Description and Purpose,,9763
,Total Annual Revenue of the Organization - in USD,,9798
,Other Funding Sources,,9810
,501c3 Designation Letter,,9818
Other Funding Sources,"Are you seeking funding from other sources or other sponsors?
Yes
No

If yes, please list additional sources of funding/support",,9814
,Focus Area Alignment,,9746
,Final Submission Agreement,,9838
,Project Goals and Objectives,,9774
,Organization Board of Directors,,9725
,Funding Start,,9756
,Funding End Date,,9759
,Project Funding Duration,,9778
Partial Funding Support,"Will you be able to implement the proposed project with partial funding from <REDACTED>? <REDACTED> may determine to provide a grant for less than the requested amount. If asked to
submit a Finalist Application, <REDACTED> may request you adjust your project plan, budget and outcomes accordingly.",,9806
Outstanding Obligations and/or Contingencies,Does your organization have any outstanding obligations and/or contingencies?,,9825
Funding Allocation,Please provide a percentage breakdown of how funding will be used.,"Example: 50% Salaries, 20% Travel, 5% Office Supplies, 10% Overhead/Indirect",9804
,Job Title/Organization Role,,9845
,Funding Tier,,9741
Expression of Interest Project Questions Funding Tier,"Which funding tier are you applying for?

<REDACTED> Acceleration Grants are annually funded and request amounts can range up to $20,000. <REDACTED> Grants are multi-year grants and funding can range between $25,000-$100,000, per year. Please note: Organizations are eligible to apply for both types of grants. However, a separate application must be completed for each funding tier request.

<REDACTED> Grants
<REDACTED> Grants
<REDACTED> Grants 2021",,9718
,Project Region(s),,9767
,Project Demographics,,9765
,Key Staff and Volunteers,,11760
,Statement of Support,,11836
,Number of People to be Served,,11738
Community Network,"What other services in the community does your organization work with
  to support your clients? 

Assuming no one organization can meet all the needs for all those served, what other alliances or partnerships exist to help achieve program success?","_Please note, if this request is for a specific project/program, address the answer to just that program._",11771
,"In compliance with the USA Patriot Act and other counterterrorism laws, I certify that all funds_ received from this funder will be used in compliance with all applicable anti-terrorist financing and asset control laws, statutes, and executive orders.",,11847
Outcome: Increased Collaboration for Social Change (Coalition-Building),"You must _CHOOSE ONE_ (AND ONLY ONE) indicator from this list.

2a. Increased Development of Coalitions for Collaborative Action among Social Change Groups 

2b. Increased [depth of] Collaboration among Coalition/Collaborative Members

2c. Increased Coordinated Action Among Coalition Members in Advancing their Shared Agenda",,11711
Organizational Impact,"Describe the changes in group behavior or community conditions that
  your organization hopes to achieve over time.

How does your organization currently measure impact?",,11766
,Veterans Sub-Focus Area,,11699
,Number of Full-Time Employees,,11780
Poverty,"What percentage of clients served by this project are experiencing
  poverty? 

Describe YOUR definition of poverty.",,11742
,Evaluation Plan Description,,11751
,Evaluation Plan Upload,,11753
,Advocacy and Coalition-Building Focus Area,,11717
,Focus Area / Outcomes / Indicators,,11637
,Evaluation Tools Upload,,11755
,Number of Part-Time Employees,,11782
Outcome: Increased Awareness and Advocacy for Social Change,"You must _CHOOSE ONE_ (AND ONLY ONE) indicator from this list.

  1a. Increased Public Awareness of Issues Impacting Constituents

  1b. Increased Awareness and Engagement with Key Systems Leaders and Policymakers 

1c. Increased Awareness and/or Skills in Supporting the Well-being of Constituents

1d. Increased Empowerment among Community Constituents

1e. Increased/Sustained Involvement of Agency Staff and Volunteers in Legislative/Policy Advocacy 

1f. Increased Skills and Confidence in Advocacy among Agency Staff and Volunteers",,11703
"_OLDER ADULTS LIVING INDEPENDENTLY INDICATORS_ IMPORTANT: <REDACTED> requires all grantee organizations to measure impact using our standardized outcomes. The next questions will ask you to choose one indicator for each outcome that you will be measuring during the grant period. For our explanations of each indicator, suggested measurement tools, and further information regarding our evaluation framework, please see the <REDACTED> User's Guide for Evaluation._","Older Adults-Indicators for Outcome 1: Increased Stability*

You must _CHOOSE ONE_ (AND ONLY ONE) indicator from this list.

1a: Increased Access to Needed Community Resources

1b: Increased Stability Related to Basic Needs (food/nutrition, shelter/housing and transportation)

1c: Improved/Maintained Levels of Functioning (physical/cognitive)

1d: Improved/Increased Support for Caregivers",,11676
,How does your organization currently measure impact,,11769
"_HUMAN TRAFFICKING PREVENTION INDICATORS_ IMPORTANT: <REDACTED> requires all grantee organizations to measure impact using our standardized outcomes. The next questions will ask you to choose one indicator for each outcome that you will be measuring during the grant period. For our explanations of each indicator, suggested measurement tools, and further information regarding our evaluation framework, please see the <REDACTED> User's Guide for Evaluation._","Indicators for Outcome 1: Increased Knowledge/Skills/Collaboration for Prevention*

You must _CHOOSE ONE_ (AND ONLY ONE) indicator from this list.

1a: Increased Knowledge of Human Trafficking and its Risk Factors

1b: Increased Understanding of Survivors as Victims of Trafficking Rather Than Offenders 

1c: Increased Knowledge of Primary, Secondary and/or Tertiary Prevention

1d: Increased Skills Among Education, Health and Social Service Providers for Prevention

1e: Increased Collaboration Among Service Providers, Advocates, and Others to Prevent Trafficking",,11656
_OLDER ADULTS LIVING INDEPENDENTLY INDICATORS_,"Older Adults Living Independently Sub-focus Area

Care Coordination/Case Management Minor Home Repairs

Transportation

Oral Health Literacy",,11683
,"WHAT ARE THE ORGANIZATION'S MAJOR GOALS FOR THIS
  PROJECT?",,11744
COVID-19 Impact,"How might the delivery of current programming/operations be impacted by the Coronavirus pandemic, if at all?",,11736
Advocacy,"How does your agency define advocacy?

What, if any, advocacy efforts are you engaged in on behalf of the population you serve?",,11764
Applicant-Specific Outcomes (Optional),"What anticipated additional short-term measurable outcomes will be achieved by this grant? 

How will you track and measure these outcomes?",,11758
,Budgeted Organization Income,,11816
,PROJECT BUDGET AND BUDGET NARRATIVE (if Project/Program request),,11792
"Executive Director's Signature* <REDACTED> REQUIRES THE ELECTRONIC SIGNATURE OF YOUR AGENCY'S EXECUTIVE DIRECTOR._ Executive Director's Confirmation By entering your signature information above and clicking ""I Agree"" below, you certify that the information contained in this application is true and correct to the best of your knowledge.","I Agree

  I Do Not Agree",,11858
,Community Needs Statement,,11731
Indicators for Outcome 2: Improved Quality of Life for Immigrants/Refugees,"You must _CHOOSE ONE_ (AND ONLY ONE) indicator from this list.

  2a: Increased Community Connections

  2b: Clients Achieve the Appropriate Legal Status

  2c: Clients Report Improvements in Overall Well-being 2d: Increased
  Coping Skills

  2e: Decreased Stress (including Traumatic Stress)",,11650
Indicators for Outcome 2: Improved Quality of Life for Veterans and their Families,"You must _CHOOSE ONE_ (AND ONLY ONE) indicator from this list.

  2a: Greater Access to Appropriate Mental Health and Support Services (incl. Alternative/Wholistic) 

2b: Improved Psychological/Mental Health (includes Stress Management and Coping Skills)

2c: Increased/sustained participation in social/emotional support opportunities

2d: Clients Report Improvements in Overall Well-being",,11693
Indicators for Outcome 2: Increased Support and Stability for High-Risk Youth and Youth Survivors,"You must _CHOOSE ONE_ (AND ONLY ONE) indicator from this list.

2a: Increased Shelter/Safety for Survivors and Those at Highest Risk

2b: Increased Access to Substance Abuse/Mental Health Services for
  Survivors/Those at Highest Risk

2c: Increased Availability of Survivor-led Programming

2d: Increased Availability of Longer-term Residential Services/Programming

2e: Increased Stability/Well-being Among Survivors/Those at Highest Risk for Human Trafficking",,11663
,Current Programs,,11729
Indicators for Outcome 1: Increased Stability for Veterans,"You must _CHOOSE ONE_ (AND ONLY ONE) indicator from this list.

1a: Increased Access to Needed Community Resources (including legal
  assistance)

1b: Increased Stability Related to Basic Needs (food/nutrition, shelter/housing and transportation) 

1c: Improved Levels of Functioning (Life Skills, Education, and Employment)",,11688
Indicators for Outcome 1: Increased Stability for Immigrants/Refugees,"You must _CHOOSE ONE_ (AND ONLY ONE) indicator from this list.

1a: Increased Access to Needed Community Resources (including Legal Assistance)

1b: Increased Stability Related to Basic Needs (Food/Nutrition, Shelter/Housing and Transportation)

1c: Improved Levels of Functioning (Life Skills, English Language Skills)

1d: Improved Employment Situations",,11644
,IN-KIND DONATIONS (if applicable),,11797
Older Adults-Indicators for Outcome 1: Increased Stability,"Older Adults-Indicators for Outcome 1: Increased Stability

You must _CHOOSE ONE_ (AND ONLY ONE) indicator from this list.

1a: Increased Access to Needed Community Resources

1b: Increased Stability Related to Basic Needs (food/nutrition, shelter/housing and transportation)

1c: Improved/Maintained Levels of Functioning (physical/cognitive)

1d: Improved/Increased Support for Caregivers",,11670
,Budgeted Organization Expenses,,11818
,Proof of IRS Federal 501(c)(3) Status,,11834
,"<REDACTED> requires TWO YEARS of your organization's most recently
      completed fiscal year financial reports, audited _if
      available_",,11793
,Tax Exemption Status/IRS Designation,,11777
,Program/Project Description,,11734
,IRS FORM W-9,,11798
,IRS Form W-9,,11814
,FISCAL AGENT INFORMATION,,11786
,Organization's Current Fiscal Year Budget,,11790
,Fiscal Agent Contact Information,,11788
,FISCAL YEAR START DATE,,11799
,Project Expenses,,11822
,"I certify my organization will avoid participating in, contributing
  to, or promoting activities contrary to_ _<REDACTED>._",,11846
Grantmaker Review,"I have reviewed the website or spoken to the grantmaker to whom I am submitting this application and have reviewed their mission, funding
  interests, process, and requirements to determine if my request is a
  funding fit.",,11848
,Project Income,,11820
,Fiscal Year Ending Date,,11801
,Q2. Year Founded,,11725
,"_LIST OF OTHER FUNDING SOURCES FOR THE GRANT PERIOD REQUESTED_ (if
      General Operating Support)",,11791
,Project Category,,11632
,Most Recent Two Years Financial Statements,,11810
,Type of Request - Funding,,11626
,Project Budget & Budget Narrative Template,,11807
,Executive Director's Signature,,11856
,Name and Title of Individual Completing This Form,,11840
,Number of Active Volunteers,,11784
,Attachments Required by <REDACTED> Fund,,11852
,In-Kind Contributions,,11812
,Long-term Funding Plan,,11762
,Phone Number of Individual Completing This Form,,11844
,Email Address of Individual Completing This Form,,11842
,"LIST OF OTHER FUNDING SOURCES FOR THE GRANT PERIOD
  REQUESTED",,11805
,"Is your organization Black-, indigenous-, or people of color-led",,9851
,Project Title (if applicable),,9909
,Where will the work take place? Please select up to 8.,,9874
,Optional Organizational Documents,,9974
,telephone number,,9922
,Federal Tax Identification Number,,9927
,Fiscal sponsor's name (if applicable),,9849
,Organization's legal name (and name it's commonly known by),,9919
,"Project Budget, including Key Project Funders",,9966
"In lieu of responding to the narrative proposal questions in the online form, you may either:","1. Submit a proposal you've developed for another funder that addresses all required questions. It should be no longer than 12 pages and there is no need to customize it for <REDACTED>. Upload the document to the Optional Attachments page at the end of the online form. Then, in each of the narrative question boxes, let us know you've chosen this option by entering ""please refer to attached proposal.""

2. Submit video or audio responses. Record video or audio responses to each question and upload them to YouTube, Vimeo, SoundCloud, or a platform of your choice, and provide links in each of the response boxes on the proposal. Please record a separate response for each question. We're not looking for perfection or professional quality audio or video. But please review your recordings to ensure that a listener will be able to clearly hear your responses and that there is little background noise or interference. We recommend a response of 100-400 words for most of our narrative
questions. For audio or video recordings, this will typically be a 1-3-minute recording. A 250-word response will be a bit under two minutes.",,9917
Request Request amount,"Estimated term of grant (in months)

Type of support requested. Please select either: 

General operating support
Program/project support",,9940
,Option to Submit a Proposal Written for Another Funder,,9969
,Fiscal Sponsorship Information (if applicable),,9924
,Estimated term of grant (in months),,9941
,Current documentation of the fiscal sponsor relationship,,9930
,Fiscal Sponsor Request Contact,,9936
,Your Contact Information,,9861
,Optional Media Attachments,,9971
,Federal tax identification number,,9920
,website,,9923
,Your Organization's Leadership,,9850
,Interest Form Contact,,9862
,Organization Chief Executive Contact: Name,,9934
,Current Board/Advisory/Steering Committee List,,9964
,Most Recent Audit OR Year-end Financial Statements,,9961
,Organization Chief Executive Contact,,9864
